"transcriptID","geneID","feature","id","fc","pval","qval"
"gene-PA3060","pelE","transcript","3130",1.14664535999684e-07,0.0564524895577361,0.947188505654787
"gene-PA1886","polB","transcript","1933",0.0827848653281881,0.0566951978569546,0.947188505654787
"gene-PA4512","lpxO1","transcript","4633",7.45991786874754,0.0567509913817572,0.947188505654787
"gene-PA2779",".","transcript","2841",3.31657319228623e-07,0.0570552900969592,0.947188505654787
"gene-PA0879",".","transcript","896",8.16073343246426e-05,0.0577206985488274,0.947188505654787
"gene-PA2612","serS","transcript","2668",2.40868198114365,0.0580209074060929,0.947188505654787
"gene-PA1551",".","transcript","1584",170810.479937619,0.058131534111092,0.947188505654787
"gene-PA0896","aruF","transcript","914",0.000805193641917983,0.0581812017524539,0.947188505654787
"gene-PA3252",".","transcript","3329",1.68598388899484e-08,0.0585749497889665,0.947188505654787
"gene-PA5506",".","transcript","5674",7245103.78477439,0.0587368707571947,0.947188505654787
"gene-PA4033",".","transcript","4132",14642.7666783384,0.0593489492335213,0.947188505654787
"gene-PA1188",".","transcript","1216",23.8282133113554,0.0593821633056533,0.947188505654787
"gene-PA2569",".","transcript","2621",0.0557850376422335,0.0593924731622031,0.947188505654787
"gene-PA3196",".","transcript","3274",0.00219495940999991,0.059626018490784,0.947188505654787
"gene-PA1497",".","transcript","1529",3408.19152903983,0.0600486637189621,0.947188505654787
"gene-PA4980",".","transcript","5137",7.200031927368e-09,0.0602860567557417,0.947188505654787
"gene-PA4907",".","transcript","5060",11.7900619350768,0.0604339215041925,0.947188505654787
"gene-PA5231",".","transcript","5392",2874581.75339166,0.060647706408002,0.947188505654787
"gene-PA4587","ccpR","transcript","4713",2991273470.2599,0.0609862751887713,0.947188505654787
"gene-PA2566",".","transcript","2618",786.902977631374,0.0610832891695785,0.947188505654787
"gene-PA3038",".","transcript","3107",7.594174440971e-12,0.0614197972180514,0.947188505654787
"gene-PA4848","accC","transcript","5002",10143.5912320575,0.0614374514554923,0.947188505654787
"gene-PA0241",".","transcript","245",0.000100285091512499,0.061588005031103,0.947188505654787
"gene-PA0738",".","transcript","753",3.96156745287741e-06,0.061817962555167,0.947188505654787
"gene-PA5199","amgS","transcript","5359",5.45410479602374,0.0618209621299899,0.947188505654787
"gene-PA0348",".","transcript","353",0.0865038145246632,0.062030073776604,0.947188505654787
"gene-PA4690a",".","transcript","4829",4.30512876957064e-08,0.062074170028505,0.947188505654787
"gene-PA2642","nuoG","transcript","2698",39.2424969410612,0.0622852807084682,0.947188505654787
"gene-PA3231",".","transcript","3308",7.17957567481025e-09,0.0627078480463893,0.947188505654787
"gene-PA0359",".","transcript","364",141115.993530906,0.0633619913271102,0.947188505654787
"MSTRG.1920.1",".","transcript","2349",0.152117013476349,0.0633726084631461,0.947188505654787
"gene-PA4475",".","transcript","4596",0.000431284942071405,0.0636566843902575,0.947188505654787
"gene-PA2332",".","transcript","2382",6546.94596214456,0.0637521225134113,0.947188505654787
"gene-PA0242",".","transcript","246",0.000161420548376136,0.063935452130908,0.947188505654787
"gene-PA0897","aruG","transcript","915",0.00164456181695999,0.0639621064298965,0.947188505654787
"gene-PA0408","pilG","transcript","413",62806.6186906472,0.0646876468286293,0.947188505654787
"gene-PA1544","anr","transcript","1577",20.7906780242648,0.0649384448946042,0.947188505654787
"gene-PA3581","glpF","transcript","3674",36160.1973613419,0.0651410675720605,0.947188505654787
"gene-PA0866","aroP2","transcript","883",1.7504380488818e-12,0.0651611927490611,0.947188505654787
"gene-PA0773","pdxJ","transcript","787",561.762246002387,0.0651627837094435,0.947188505654787
"gene-PA1319","cyoC","transcript","1348",2240031.23064671,0.0652549305655412,0.947188505654787
"gene-PA0409","pilH","transcript","414",128862.892759231,0.0654158274199711,0.947188505654787
"rna-PA5369.1",".","transcript","5533",0.000536717304318205,0.0658853403199183,0.947188505654787
"gene-PA0418",".","transcript","423",19.0752918740079,0.0659103979248488,0.947188505654787
"gene-PA4615",".","transcript","4741",0.060119290926389,0.0659598279425432,0.947188505654787
"gene-PA5414",".","transcript","5582",38.8537361605464,0.0659946766326769,0.947188505654787
"gene-PA1420",".","transcript","1450",525.12898054687,0.066167857097106,0.947188505654787
"gene-PA2236","pslF","transcript","2284",0.00197544541414597,0.0665710259965082,0.947188505654787
"gene-PA3309",".","transcript","3391",11995339483.2424,0.067740871596611,0.947188505654787
"gene-PA5371",".","transcript","5539",112.540436857281,0.0677567953064184,0.947188505654787
"gene-PA3028","moeA2","transcript","3096",51.7536012191593,0.0681380794068962,0.947188505654787
"gene-PA2722",".","transcript","2777",0.010045315209771,0.0681517373784484,0.947188505654787
"gene-PA3325",".","transcript","3407",1.7985854762377e-07,0.0681705400980028,0.947188505654787
"gene-PA1454","fleN","transcript","1485",4.00814146509964,0.0688294080529973,0.947188505654787
"gene-PA4093",".","transcript","4191",0.00107768387528232,0.0691722563286391,0.947188505654787
"gene-PA1133",".","transcript","1161",2373.93477945367,0.0696073632834133,0.947188505654787
"gene-PA2793",".","transcript","2855",0.0161902424469174,0.0697037752976644,0.947188505654787
"gene-PA0155","pcaR","transcript","159",0.000522209304238807,0.0699795769886002,0.947188505654787
"gene-PA3969a",".","transcript","4069",5.95874893971389e-05,0.0700166686555092,0.947188505654787
"gene-PA1372",".","transcript","1402",0.000211731767054707,0.0702594619224037,0.947188505654787
"gene-PA3987","leuS","transcript","4087",500.923144410859,0.0702689621554627,0.947188505654787
"gene-PA4734",".","transcript","4884",6.66823162775922,0.0708750161177747,0.947188505654787
"gene-PA5044","pilM","transcript","5201",646687.796078303,0.0710635424353985,0.947188505654787
"gene-PA5505",".","transcript","5673",28.7514247525373,0.0710864457431495,0.947188505654787
"gene-PA5467",".","transcript","5636",1.81729255415741e-09,0.0712805626043802,0.947188505654787
"gene-PA4321",".","transcript","4438",0.173747241025155,0.0716702176325754,0.947188505654787
"gene-PA3414",".","transcript","3499",2948.1056740191,0.0722141398383082,0.947188505654787
"gene-PA0445",".","transcript","450",0.00389854774190334,0.0723383747174704,0.947188505654787
"gene-PA3225",".","transcript","3302",9.60142550091549,0.0726551623953418,0.947188505654787
"gene-PA0071",".","transcript","74",0.00796006260920774,0.0726704519569157,0.947188505654787
"gene-PA3185",".","transcript","3263",0.0218894647845915,0.0727584279235698,0.947188505654787
"gene-PA5328",".","transcript","5491",3.37826592094104e-06,0.0735564597685602,0.947188505654787
"gene-PA4847","accB","transcript","5001",282.988039338713,0.0747343795317189,0.947188505654787
"gene-PA0493",".","transcript","499",35009.1867460337,0.0747762959596117,0.947188505654787
"gene-PA5543",".","transcript","5710",7.95330041929228e-07,0.0748268925565651,0.947188505654787
"gene-PA1940",".","transcript","1985",0.000502217417415064,0.0752540454381998,0.947188505654787
"gene-PA3388",".","transcript","3472",0.00283697933697986,0.0754882702353767,0.947188505654787
"gene-PA1934",".","transcript","1981",59.88530735055,0.0763924400840984,0.947188505654787
"gene-PA3684",".","transcript","3779",58.2614740988607,0.0767420511687715,0.947188505654787
"gene-PA2201",".","transcript","2249",1907.13365502742,0.0769986697444123,0.947188505654787
"gene-PA0441","dht","transcript","446",1.30184088498898e-05,0.077462654543984,0.947188505654787
"rna-PA0668.1",".","transcript","676",7.21574906546827e-05,0.0775595735053969,0.947188505654787
"gene-PA1702",".","transcript","1739",1596319744.63936,0.0780455810435033,0.947188505654787
